product_name,description,brand,rating,image_url,link
AHAVA Single Use Overnight Deep Wrinkle Mask 6ml,Reignite skin’s youthfulness with ,AHAVA,4.5,https://static.thcdn.com/images/large/original/productimg/1600/1600/12054131-1484660542505212.jpg,https://www.lookfantastic.com/ahava-single-use-overnight-deep-wrinkle-mask-6ml/12054131.html
Origins Original Skin Retexturizing Mask with Rose Clay 75ml,Transform your skin with,Origins,4.77,https://static.thcdn.com/images/large/original/productimg/1600/1600/12013397-9264643165054547.jpg,https://www.lookfantastic.com/origins-original-skin-retexturizing-mask-with-rose-clay-75ml/12013397.html
NIP+FAB Teen Skin Fix Salicylic Acid Sheet Mask,"Create a healthy, glowing complexion with the ",NIP+FAB,4.5,https://static.thcdn.com/images/large/original/productimg/1600/1600/11888236-9894617803164596.jpg,https://www.lookfantastic.com/nip-fab-teen-skin-fix-salicylic-acid-sheet-mask/11888236.html
AHAVA Single Use Brightening & Hydration Mask 6ml,Reignite a radiant glow with ,AHAVA,3.75,https://static.thcdn.com/images/large/original/productimg/1600/1600/12054114-2074660541961759.jpg,https://www.lookfantastic.com/ahava-single-use-brightening-hydration-mask-6ml/12054114.html
Garnier Moisture Bomb Deep Sea Water & Hyaluronic Acid Night-Time Eye Tissue Mask 6g,Indulge in a little self care with the ,Garnier,5,https://static.thcdn.com/images/large/original//productimg/1600/1600/12356487-1134773299173455.jpg,https://www.lookfantastic.com/garnier-moisture-bomb-deep-sea-water-hyaluronic-acid-night-time-eye-tissue-mask-6g/12356487.html
PIXI Glow Mud Mask 30ml,Introduce your skin to a 15 minute facial with the ,PIXI,4.67,https://static.thcdn.com/images/large/original/productimg/1600/1600/11200041-9730876732353109.jpg,https://www.lookfantastic.com/pixi-glow-mud-mask-30ml/11200041.html
,description,brand,rating,image_url,https://www.lookfantastic.com/apivita-express-firming-face-mask-royal-jelly-2x8ml/11902650.html
,description,brand,rating,image_url,https://www.lookfantastic.com/apivita-express-moisturizing-face-mask-aloe-2-x-8ml/11902637.html
Clinique Moisture Surge Overnight Mask 15ml," is a deeply nourishing and protective face mask that inspires a dewy, radiant complexion come morning. ",Clinique,3.88,https://static.thcdn.com/images/large/original/productimg/1600/1600/11700023-1154564680856665.jpg,https://www.lookfantastic.com/clinique-moisture-surge-overnight-mask-15ml/11700023.html
OSKIA Renaissance Mask (50ml),"The Oskia Renaissance Mask can transform dull, lifeless skin into a smooth and even surface that is soft to the touch. Inside this treatment are natural fruit acids that work to exfoliate skin yet do not strip away natural moisture. The light scent of rose, passion fruit and chamomile brings the spa experience home, resulting in skin that is supple with a more youthful look. This product is certified organic.",OSKIA,4.89,https://static.thcdn.com/images/large/original/productimg/1600/1600/10539055-1464699672342620.jpg,https://www.lookfantastic.com/oskia-renaissance-mask-50ml/10539055.html
Estée Lauder Perfectly Clean MultiAction Foam Cleanser and Purifying Mask 150ml,"Treat your skin with this refreshing foam that cleanses gently yet thoroughly. Powered by our proprietary technology, this creamy formula rapidly lathers into a rich foam that works for all skintypes and is ideal for normal/combination skin. Gently removes makeup and other impurities. Unclogs pores. Leaves skin healthy, fresh and luminous.",Estée Lauder,4.62,https://static.thcdn.com/images/large/original//productimg/1600/1600/11141613-7444815016045206.jpg,https://www.lookfantastic.com/estee-lauder-perfectly-clean-multiaction-foam-cleanser-and-purifying-mask-150ml/11141613.html
NIP+FAB Glycolic Fix Extreme Bubble Mask 23g,Give your skin a glow boost with the ,NIP+FAB,4.94,https://static.thcdn.com/images/large/original/productimg/1600/1600/11567217-2104529910507165.jpg,https://www.lookfantastic.com/nip-fab-glycolic-fix-extreme-bubble-mask-23g/11567217.html
Peter Thomas Roth Cucumber Gel Mask 14ml,Meet the needs of dry and irritated skin with the,Peter Thomas Roth,3.25,https://static.thcdn.com/images/large/original//productimg/1600/1600/11509393-1464786783975533.jpg,https://www.lookfantastic.com/peter-thomas-roth-cucumber-gel-mask-14ml/11509393.html
Erno Laszlo Multi-Task Eye Serum Mask (6 Pack),"Revive tired, weary eyes with",Erno Laszlo,4.5,https://static.thcdn.com/images/large/original//productimg/1600/1600/11640755-5414791210602460.jpg,https://www.lookfantastic.com/erno-laszlo-multi-task-eye-serum-mask-6-pack/11640755.html
L'Oréal Paris Pure Clay Detox Face Mask 50ml,Transform your skin with the ,L'Oréal Paris,4.41,https://static.thcdn.com/images/large/original//productimg/1600/1600/11740138-1334737749790690.jpg,https://www.lookfantastic.com/l-oreal-paris-pure-clay-detox-face-mask-50ml/11740138.html
Aesop Chamomile Concentrate Anti-Blemish Mask 60ml,"Fast acting, purifying masque to combat unwelcome blemishes. This potent blend of plant actives and purified clays, applied directly to the site of an emerging pimple, works to draw out inflammation and inhibit the spread of bacteria. Packed with Chamomile Bud, Tea Tree Leaf, Rosemary, Sage, Lemon Peel and Lemon Verbena extracts. Enhanced with soothing azulenes.",Aesop,4.75,https://static.thcdn.com/images/large/original/productimg/1600/1600/10366573-3675661759071906.jpg,https://www.lookfantastic.com/aesop-chamomile-concentrate-anti-blemish-mask-60ml/10366573.html
COSRX Ultimate Nourishing Rice Overnight Spa Mask 60ml,Wake up to brighter skin with the ,COSRX,4.38,https://static.thcdn.com/images/large/original//productimg/1600/1600/11540299-8494864723299636.jpg,https://www.lookfantastic.com/cosrx-ultimate-nourishing-rice-overnight-spa-mask-60ml/11540299.html
